City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,sittwe,20.15,92.9,27.72,85.0,100.0,2.15,MM,1718656122.0
263,kavieng,-2.5744,150.7967,27.92,81.0,98.0,5.72,PG,1718656122.0
264,saint-pierre,-21.3393,55.4781,19.82,73.0,40.0,3.6,RE,1718656123.0
265,port saint john's,-31.6229,29.5448,18.68,60.0,0.0,3.28,ZA,1718656123.0
266,tsiombe,-25.3,45.4833,18.11,72.0,0.0,4.0,MG,1718656123.0
267,yoichi,43.2039,140.7703,16.5,91.0,100.0,4.07,JP,1718656123.0
268,cabo san lucas,22.8909,-109.9124,33.67,33.0,0.0,4.63,MX,1718656123.0
269,cuamba,-14.8031,36.5372,14.93,68.0,5.0,1.86,MZ,1718656123.0
270,vilyuchinsk,52.9306,158.4028,8.15,85.0,100.0,0.95,RU,1718656124.0
271,chibougamau,49.9168,-74.3659,21.79,64.0,20.0,6.17,CA,1718656124.0
272,gibsons,49.3997,-123.5027,16.6,91.0,66.0,1.38,CA,1718656124.0
273,orhaneli,39.9033,28.9906,19.67,48.0,0.0,2.06,TR,1718656124.0
274,fortuna,40.5982,-124.1573,18.85,55.0,20.0,7.2,US,1718656124.0
275,hillsborough,37.5741,-122.3794,28.34,34.0,40.0,5.66,US,1718656106.0
276,orange walk,17.8333,-88.8333,26.86,93.0,100.0,1.6,BZ,1718655981.0
277,manicore,-5.8092,-61.3003,30.59,52.0,86.0,0.86,BR,1718656125.0
278,ekuvukeni,-28.4675,30.1551,12.44,37.0,0.0,3.21,ZA,1718656125.0
279,alofi,-19.0595,-169.9187,25.94,83.0,75.0,2.06,NU,1718656125.0
280,musoma,-1.5,33.8,21.07,76.0,8.0,2.21,TZ,1718656125.0
281,saipan,15.1355,145.701,28.39,78.0,20.0,5.14,MP,1718656125.0
282,loanda,-8.8368,13.2343,23.0,88.0,20.0,4.63,AO,1718656125.0
283,jayapura,-2.5333,140.7,23.66,92.0,100.0,3.01,ID,1718656125.0
284,malango,-2.9627,119.9001,18.09,98.0,19.0,0.75,ID,1718656125.0
285,ampanihy,-24.7,44.75,17.02,76.0,0.0,5.26,MG,1718656126.0
286,cascais,38.6979,-9.4215,19.92,94.0,100.0,6.26,PT,1718655878.0
287,happy valley-goose bay,53.3168,-60.3315,23.17,33.0,75.0,2.57,CA,1718656126.0
288,zakamensk,50.3741,103.2863,11.8,97.0,96.0,0.99,RU,1718656126.0
289,muragacha,23.5333,88.4,30.56,78.0,100.0,6.72,IN,1718656126.0
290,kuusamo,65.9667,29.1833,19.02,52.0,0.0,2.57,FI,1718656126.0
291,yung shue wan,22.2333,114.1167,29.86,85.0,91.0,0.45,HK,1718656126.0
292,dudinka,69.4058,86.1778,3.95,80.0,100.0,1.32,RU,1718656126.0
293,arquitecto tomas romero pereira,-26.4833,-55.25,21.34,97.0,88.0,1.45,PY,1718656126.0
294,polovinnoye,54.7914,65.9864,15.29,86.0,0.0,3.62,RU,1718656127.0
295,bamboo flat,11.7,92.7167,28.05,89.0,20.0,2.06,IN,1718656127.0
296,tralee,52.2704,-9.7026,13.1,89.0,84.0,2.86,IE,1718656127.0
297,san luis,-33.295,-66.3356,17.16,50.0,85.0,8.03,AR,1718656023.0
298,galle,6.0367,80.217,29.4,80.0,54.0,4.47,LK,1718656127.0
299,nushki,29.5542,66.0215,31.23,11.0,0.0,3.04,PK,1718656127.0
300,kharsawan,22.8,85.8333,32.01,50.0,100.0,2.16,IN,1718656127.0
301,belmonte,-15.8631,-38.8828,23.97,75.0,0.0,2.63,BR,1718656127.0
302,tolanaro,-25.0319,46.9987,20.04,77.0,40.0,3.09,MG,1718656128.0
303,hamilton,39.1834,-84.5333,36.47,51.0,40.0,6.17,US,1718656035.0
304,acarau,-2.8856,-40.12,27.73,74.0,61.0,4.88,BR,1718655926.0
305,hudiksvall,61.729,17.1036,11.4,98.0,58.0,1.28,SE,1718656128.0
